GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,IOUtils,127,574,28,80,38,189,27,77,9,41
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,IOExceptionWithCause,2,19,1,1,0,6,1,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,FileCleaningTracker.Reaper,0,48,1,5,0,14,1,4,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,EndianUtils,8,811,1,3,3,118,2,31,1,30
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,EmptyFileFilter,0,37,1,7,0,8,1,6,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,OrFileFilter,52,108,9,13,11,32,6,15,1,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,FileFilterUtils,15,154,0,12,5,38,4,28,4,22
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,DelegateFileFilter,30,53,3,7,3,17,3,7,1,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,AbstractFileFilter,18,18,2,0,3,3,2,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,AgeFileFilter,24,52,2,4,2,16,2,9,1,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,AndFileFilter,59,116,9,17,13,34,7,16,2,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,PrefixFileFilter,51,126,9,17,10,33,7,15,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,RegexFileFilter,0,72,2,10,0,24,2,9,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,SizeFileFilter,24,44,2,8,2,10,2,7,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,NameFileFilter,47,130,8,18,10,33,6,16,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,FalseFileFilter,0,14,0,0,0,6,0,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,WildcardFilter,0,106,1,19,0,27,1,14,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,SuffixFileFilter,51,126,9,17,10,33,7,15,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,NotFileFilter,16,32,0,6,1,7,1,6,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,WildcardFileFilter,46,131,7,19,10,33,5,17,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.filefilter,CanReadFileFilter,0,22,0,0,0,7,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,ReverseComparator,5,14,1,1,1,5,1,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,SizeFileComparator,0,96,2,14,0,28,2,10,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,PathFileComparator,2,58,1,1,0,15,1,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,LastModifiedFileComparator,0,39,0,4,0,11,0,5,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,NameFileComparator,2,58,1,1,0,15,1,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,ExtensionFileComparator,2,64,1,1,0,18,1,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.comparator,DefaultFileComparator,0,23,0,0,0,6,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,NullReaderTest.TestNullReader,0,39,0,2,0,9,0,5,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,AutoCloseInputStreamTest.new ByteArrayInputStream() {...},0,12,0,0,0,4,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,CharSequenceReaderTest,0,370,0,4,0,68,0,13,0,11
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,ClassLoaderObjectInputStreamTest,2,40,1,1,0,11,1,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,NullReaderTest,71,350,0,14,16,85,0,16,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,AutoCloseInputStreamTest,0,217,0,10,0,37,0,11,0,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,PackageTestSuite,61,133,0,18,3,11,2,10,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,CountingInputStreamTest,12,381,0,0,4,102,0,11,0,11
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,NullInputStreamTest.TestNullInputStream,0,39,0,2,0,9,0,5,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,ClosedInputStreamTest,0,11,0,0,0,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,CloseShieldInputStreamTest.new ByteArrayInputStream() {...},5,7,0,0,2,2,1,1,1,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,TeeInputStreamTest,0,239,0,0,0,48,0,9,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,NullInputStreamTest,71,375,0,14,16,88,0,16,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,SwappedDataInputStreamTest,14,159,0,2,4,48,0,18,0,17
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.input,CloseShieldInputStreamTest,0,61,0,0,0,11,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,TeeOutputStreamTest,0,130,0,8,0,22,0,7,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,CloseShieldOutputStreamTest.new ByteArrayOutputStream() {...},5,6,0,0,2,2,1,1,1,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,LockableFileWriterTest,61,373,0,0,14,103,0,10,0,10
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,FileWriterWithEncodingTest,47,340,2,4,11,99,2,10,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,PackageTestSuite,61,133,0,18,3,11,2,10,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,NullOutputStreamTest,0,36,0,0,0,12,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,CountingOutputStreamTest,12,194,0,10,4,41,0,9,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,ClosedOutputStreamTest,8,5,0,0,2,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,DeferredFileOutputStreamTest,68,560,5,5,30,148,5,12,0,12
