Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,COLLECTIONS-682,13165366,README.md contains unresolved template references,,fury,Trivial,Closed,Fixed,11/Jun/18 16:43,12/Jun/18 21:40,
Bug,COLLECTIONS-673,13135817,ListUtils.partition potential integer overflow,,jmark,Major,Resolved,Fixed,02/Feb/18 17:18,12/Jun/18 21:45,
Bug,COLLECTIONS-661,13106660,Intermittent test failures in Windows for HashSetValuedHashMap,kinow,kinow,Major,Resolved,Fixed,03/Oct/17 09:54,12/Oct/17 06:31,
Bug,COLLECTIONS-660,13106652,Uncomment test in AbstractMapTest regarding LRUMap equals,kinow,kinow,Minor,Resolved,Fixed,03/Oct/17 09:41,04/Oct/17 04:44,
Bug,COLLECTIONS-656,13101595,Fix site build on Java 8,kinow,kinow,Minor,Resolved,Fixed,12/Sep/17 10:42,13/Sep/17 07:52,
Bug,COLLECTIONS-603,13074427,"Small improvements for generics, conditional statements, and warnings suppressions",kinow,kinow,Minor,Resolved,Fixed,24/May/17 08:02,24/May/17 08:21,
Bug,COLLECTIONS-602,13073447,Improve efficiency of DefaultedMap.get,kinow,jmark,Major,Resolved,Fixed,19/May/17 14:23,24/May/17 09:35,
Bug,COLLECTIONS-597,13013873,Correction of Javadoc for org.apache.commons.collections4.functors.CatchAndRethrowClosure,garydgregory,sadguten,Trivial,Resolved,Fixed,20/Oct/16 13:47,21/Oct/16 05:53,
