Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-9894,12960375,RXCamel is not releasing the ActiveMQ connection once the subscription is complete,davsclaus,arunkabraham,Critical,Resolved,Invalid,2016-04-20 15:02,2016-04-22 10:40,
Bug,,CAMEL-9857,12957735,Installing camel-core in Karaf prevents activemq-camel from deploying successfully,davsclaus,ralfsteppacher,Critical,Resolved,Invalid,2016-04-11 15:26,2016-04-11 15:39,
Bug,,CAMEL-12252,13137609,Dynamic setting the DESTINATION_OVERRIDE_URL doesn't work on CXFRS producer,aldettinger,xldai,Major,Closed,Fixed,2018-02-10 6:40,2019-03-19 7:49,
Bug,,CAMEL-12890,13192456,Camel Printer unable to print to the network printer,ancosen,calyanbandi,Major,Resolved,Fixed,2018-10-18 8:23,2018-10-22 6:18,
Bug,,CAMEL-12839,13187887,Usage of readLockMinAge,ancosen,sunilomk,Major,Resolved,Invalid,2018-09-27 12:01,2018-09-27 12:05,
Bug,,CAMEL-12668,13173172,Aggregate with forcecompleteonstop doesn't seem to be honored,dmvolod,chirag0103,Major,Closed,Workaround,2018-07-19 12:08,2018-08-14 8:19,
Bug,,CAMEL-10894,13045988,XML Validator: Improve DTD handling,forsthofer,forsthofer,Major,Resolved,Fixed,2017-02-24 11:05,2018-04-16 8:55,
Bug,,CAMEL-12179,13132899,Implement Camel Aws-Kinesis Using Kinesis Client Library(KCL),ancosen,hisao.furuichi,Major,Open,,2018-01-23 0:21,2018-01-23 6:05,
Bug,,CAMEL-10048,12977892,Memory leak in RoutingSlip,davsclaus,tashoyan,Major,Resolved,Fixed,2016-06-11 21:41,2018-01-04 9:11,
Bug,,CAMEL-11628,13092122,MQTT Connection loop,davsclaus,fabryprog,Major,Resolved,Fixed,2017-08-03 8:34,2017-11-04 13:20,
Bug,,CAMEL-10225,12995484,Camel-Saxon is not thread safe,davsclaus,dave_bennison,Major,Resolved,Fixed,2016-08-07 15:24,2017-09-21 15:48,
Bug,,CAMEL-11218,13067699,Basic authentication not working when using camel cxf as producer,,saravanakumar,Major,Resolved,Not A Problem,2017-04-28 14:12,2017-05-04 13:51,
Bug,,CAMEL-10755,13038438,files in .camel folder cannot be deleted on Windows host.,,thomasleber,Major,Resolved,Invalid,2017-01-27 13:19,2017-02-24 13:26,
Bug,Patch Available,CAMEL-10822,13042598,Camel Jasypt component throws NPE,ancosen,joeluo,Major,Resolved,Fixed,2017-02-13 15:56,2017-02-14 10:30,
Bug,,CAMEL-10771,13039149,CxfEndpoint shows WARNING altough endpoint-/port name is configured,ancosen,j_ri,Major,Resolved,Fixed,2017-01-31 10:27,2017-01-31 15:31,
Bug,,CAMEL-10529,13023424,"The ""exchange"" keyword in LogEIP was incorrectly evaluated as a Camel Exchange type even without ""${ }""",davsclaus,joeluo,Major,Resolved,Won't Fix,2016-11-25 16:33,2016-11-29 9:01,
Bug,,CAMEL-9813,12955860,Zookeeper route policy requires first message to check if online.,,jlpedrosa,Major,Resolved,Fixed,2016-04-04 18:25,2016-10-28 9:13,
Bug,,CAMEL-10303,13003935,MllpTcpServerConsumer fails silently on acknowledgment failure,hqstevenson,hqstevenson,Major,Resolved,Fixed,2016-09-09 18:34,2016-09-15 13:41,
Bug,,CAMEL-10233,12996294,SpringCamelContext should lazy load ModelJAXBContextFactory,davsclaus,jamesnetherton,Major,Resolved,Fixed,2016-08-10 14:26,2016-08-11 8:42,
Bug,,CAMEL-10076,12980811,camel jetty http server does not respond,davsclaus,shautvast,Major,Resolved,Cannot Reproduce,2016-06-20 11:27,2016-08-10 9:05,
Bug,,CAMEL-10016,12975454,Fix syntax for crypto component,ancosen,aurelien.pupier,Major,Resolved,Fixed,2016-06-03 11:27,2016-06-08 13:06,
Bug,,CAMEL-10017,12975455,Fix syntax for ironmq component,ancosen,aurelien.pupier,Major,Resolved,Fixed,2016-06-03 11:28,2016-06-03 13:17,
