GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,SuffixFileFilter,0,92,0,14,0,24,0,12,0,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,EmptyFileFilter,0,37,1,7,0,8,1,6,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,SizeFileFilter,0,44,0,8,0,10,0,7,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,FileFilterUtils,15,154,0,12,5,38,4,28,4,22
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,AndFileFilter,7,116,1,17,2,34,2,16,1,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,AgeFileFilter,0,52,0,4,0,16,0,9,0,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,OrFileFilter,0,108,1,13,0,32,1,15,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,AbstractFileFilter,0,18,0,0,0,3,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,WildcardFilter,0,106,1,19,0,27,1,14,0,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,DelegateFileFilter,5,47,1,7,1,15,1,7,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,NotFileFilter,0,32,0,6,0,7,0,6,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,CanReadFileFilter,0,22,0,0,0,7,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,FalseFileFilter,0,14,0,0,0,6,0,4,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,NameFileFilter,2,130,2,18,0,33,2,16,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,PrefixFileFilter,0,92,0,14,0,24,0,12,0,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
