GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,MultipartStream.ItemInputStream,100,245,20,26,27,55,16,18,3,8
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl,175,206,24,26,41,59,20,10,0,5
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,DefaultFileItem,9,0,0,0,3,0,1,0,1,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.SizeLimitExceededException,18,0,0,0,6,0,3,0,3,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,MultipartStream.ProgressNotifier,9,32,1,1,1,12,1,4,0,4
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl,68,64,7,3,15,22,6,8,1,8
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase,250,357,31,27,65,95,41,17,17,12
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileSizeLimitExceededException,20,0,0,0,8,0,5,0,5,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileUploadIOException,9,0,0,0,4,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.UnknownSizeException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.InvalidContentTypeException,12,0,0,0,6,0,3,0,3,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadException,33,15,4,0,12,6,5,3,3,3
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,MultipartStream.IllegalBoundaryException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,DefaultFileItemFactory,20,0,0,0,6,0,3,0,3,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,MultipartStream.MalformedStreamException,3,4,0,0,2,2,1,1,1,1
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,ParameterParser,28,426,23,57,6,92,24,28,1,11
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,MultipartStream,113,446,10,38,36,92,14,29,5,14
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUpload,6,10,0,0,3,5,1,3,1,3
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileItemStream.ItemSkippedException,3,0,0,0,1,0,1,0,1,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,InvalidFileNameException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,FileUploadBase.SizeException,16,0,0,0,6,0,3,0,3,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload,DiskFileUpload,57,0,0,0,19,0,9,0,9,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.portlet,PortletFileUpload,34,0,0,0,9,0,6,0,6,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.portlet,PortletRequestContext,53,0,0,0,14,0,7,0,7,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.disk,DiskFileItemFactory,23,39,1,1,9,13,6,4,5,4
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.disk,DiskFileItem,318,223,41,19,90,62,41,16,14,13
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util.mime,ParseException,4,0,0,0,2,0,1,0,1,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util.mime,QuotedPrintableDecoder,103,0,14,0,28,0,9,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util.mime,MimeUtility,295,61,39,1,73,14,22,2,2,2
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util.mime,Base64Decoder,416,0,22,0,49,0,13,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util,FileItemHeadersImpl,22,54,3,3,6,14,4,4,2,3
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util,LimitedInputStream,64,0,6,0,20,0,9,0,6,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.util,Streams,29,105,4,16,8,33,6,9,2,3
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.servlet,ServletFileUpload,38,3,2,0,8,2,6,1,5,1
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.servlet,ServletRequestContext,23,30,0,0,4,10,1,6,1,6
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/main/java",org.apache.commons.fileupload.servlet,FileCleanerCleanup,36,0,0,0,12,0,6,0,6,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,SizesTest,521,0,14,0,125,0,13,0,6,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,ProgressListenerTest.new MockHttpServletRequest() {...},10,0,0,0,2,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,DefaultFileItemTest,830,0,16,0,172,0,19,0,11,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,MockHttpServletRequest,131,63,2,2,59,18,54,6,52,6
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,ParameterParserTest,289,0,0,0,63,0,6,0,6,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,MultipartStreamTest,98,0,0,0,35,0,4,0,4,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,StreamingTest,36,431,6,18,8,102,6,19,0,13
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,ServletFileUploadTest,669,0,4,0,166,0,14,0,12,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,StreamingTest.new InputStream() {...},4,18,0,0,1,2,1,2,1,2
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,DiskFileItemSerializeTest,423,0,10,0,98,0,22,0,17,0
"commons-fileupload (Apr 4, 2019 4:16:36 AM)/commons-fileupload/src/test/java",org.apache.commons.fileupload,ProgressListenerTest,166,0,12,0,34,0,9,0,3,0
