Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,IO-147,12384865,Deletion of orphaned Softlinks does not work,niallp,lischke,Critical,Closed,Fixed,18/Dec/07 13:04,22/Aug/08 07:36,
Bug,IO-141,12383677,Infinite loop on FileUtils.copyDirectory when the destination directory is within the source directory,niallp,vafada,Critical,Closed,Fixed,30/Nov/07 22:09,21/Apr/10 19:21,
Bug,IO-136,12382870,HexDump's use of static StringBuffers isn't thread-safe,niallp,niallp,Minor,Closed,Fixed,20/Nov/07 12:08,22/Aug/08 07:36,
Bug,IO-109,12360325,FileSystemUtils freeSpaceUnix does not work for HP-UX 11,,chrisbryanolsen,Major,Closed,Fixed,11/Jan/07 21:21,17/Feb/08 17:27,
