Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-9839,12957123,OnException doesnt return a custom message.,davsclaus,Rahul.Taneja,Blocker,Closed,Invalid,2016-04-08 7:15,2016-04-08 9:03,
Bug,,JCR-4339,13173680,Indexing configuration condition property seems to be broken ,c_koell,giacomolm,Major,Closed,Fixed,2018-07-22 18:18,2018-10-04 12:49,
Bug,,CAMEL-9248,12907416,Exception is thrown when receiving a message where JMSDestination is null,davsclaus,jinie,Major,Resolved,Fixed,2015-10-23 14:19,2018-03-21 18:00,
Bug,,JCR-4234,13125094,Using LOWER(NAME()) and OR shows UnsupportedRepositoryException,,Emerald214,Major,Open,,2017-12-15 4:00,2017-12-15 9:49,
Bug,,JCR-4232,13123427,GQL: Unexpected/strange behavior when searching for wildcards on property names,,hkui,Major,Resolved,Won't Do,2017-12-07 10:51,2017-12-07 11:35,
Bug,,CAMEL-9296,12910995,camel-blueprint-2.16.0.xsd is broken,davsclaus,ralfsteppacher,Major,Resolved,Not A Problem,2015-11-06 9:16,2017-04-24 13:36,
Bug,,CAMEL-9552,12935382,Cannot consume and produce to beanstalk component in the same route,onders,thefluxlife,Major,Resolved,Cannot Reproduce,2016-01-30 20:25,2017-03-09 14:17,
Bug,,CAMEL-9401,12920096,camel-core - OSGi dynamic import for saxon?,,davsclaus,Major,Resolved,Later,2015-12-08 14:45,2017-03-03 12:48,
Bug,,CAMEL-9214,12904103,Circuit Breaker EIP should handle exceptions as failover LB would do,,davsclaus,Major,Resolved,Won't Fix,2015-10-12 7:18,2017-02-24 13:44,
Bug,,CAMEL-9332,12913468,Support @MockEndpoint and @MockEndpointAndSkip in Spring Boot,davsclaus,mtran,Major,Resolved,Fixed,2015-11-16 21:46,2017-01-09 23:35,
Bug,,CAMEL-10578,13026743,Default namespaces defined on SOAPEnvelope cause problems with CXF PAYLOAD mode,dkulp,dkulp,Major,Resolved,Fixed,2016-12-08 17:47,2016-12-09 16:07,
Bug,,CAMEL-9253,12907691,Adding spi ManagementNamingStrategyAware,,khaing211,Major,Open,,2015-10-24 23:44,2016-11-25 15:03,
Bug,,CAMEL-9131,12863805,Camel components - Add more labels to group the options,davsclaus,davsclaus,Major,Resolved,Fixed,2015-09-14 8:38,2016-09-27 13:33,
Bug,,CAMEL-10076,12980811,camel jetty http server does not respond,davsclaus,shautvast,Major,Resolved,Cannot Reproduce,2016-06-20 11:27,2016-08-10 9:05,
Bug,,CAMEL-9350,12915252,"Bug of the JUnit-Bugs, especially the property handling within a spring-boot project",davsclaus,yuncil,Major,Resolved,Implemented,2015-11-23 8:07,2016-05-03 8:20,
Bug,,CAMEL-9293,12910750,Inconsistent Behavior in Split Exception Handling,davsclaus,srinivas_b,Major,Resolved,Cannot Reproduce,2015-11-05 15:17,2016-04-25 18:23,
Bug,,CAMEL-9343,12914849,CORS OPTIONS fails for services with path params when using servlet component,davsclaus,lynge,Major,Resolved,Fixed,2015-11-20 13:47,2016-03-23 8:34,
Bug,Patch Available,CAMEL-9274,12909047,StreamCache does not work correctly with MarshalProcessor and pretty much all DataFormats,davsclaus,aaronjwhiteside,Major,Resolved,Fixed,2015-10-29 21:44,2016-02-18 15:50,
Bug,,CAMEL-9478,12927074,GenericFileProcessStrategySupport renameFile is destructive when the source file is missing,,pkx,Major,Resolved,Won't Fix,2016-01-04 20:20,2016-02-09 9:39,
Bug,,CAMEL-9344,12914923,Certain SOAP messages cause NPE,ay,bocamel,Major,Resolved,Invalid,2015-11-20 17:27,2016-02-03 18:54,
Bug,,CAMEL-9526,12932832,Blueprint depends-on can no longer contain multiple bean ids,janstey,janstey,Major,Resolved,Fixed,2016-01-20 20:22,2016-01-20 20:26,
Bug,,CAMEL-9183,12901542,java.lang.IllegalArgumentException: Unsupported namespaces: [http://camel.apache.org/schema/blueprint],davsclaus,cmoulliard,Major,Resolved,Won't Fix,2015-09-30 9:41,2016-01-14 16:45,
Bug,,CAMEL-9247,12907290,rest-dsl with api-doc should allow multiple rest's,davsclaus,davsclaus,Major,Resolved,Fixed,2015-10-23 5:25,2016-01-07 11:38,
Bug,,CAMEL-9263,12908503,camel-servlet - Allow to configure the context path without leading slash,davsclaus,davsclaus,Major,Resolved,Fixed,2015-10-28 10:03,2016-01-06 15:13,
Bug,,CAMEL-9258,12907937,"camel-boon - Serializing/Deserializing Lists, Maps with camel-boon",ancosen,kdaham,Major,Resolved,Fixed,2015-10-26 15:07,2015-12-28 12:17,
Bug,,CAMEL-9341,12914758,Consumer do not reconnect on TCP server restart,davsclaus,zeeshan949,Major,Resolved,Fixed,2015-11-20 7:16,2015-12-25 10:19,
Bug,,CAMEL-9405,12920586,Amazon SQS message deletion behaviour change on exception,davsclaus,sounie,Major,Resolved,Fixed,2015-12-09 22:59,2015-12-18 17:14,
Bug,,CAMEL-9424,12922147,"CronScheduledRoutePolicy regression introduced with 2.16, setting both start and stop route times fails with duplicate trigger",davsclaus,donovanmuller1984,Major,Resolved,Fixed,2015-12-15 21:41,2015-12-16 11:51,
Bug,,CAMEL-9244,12907156,camel-paho - Endpoint must implement publishing of retained messages option,gautric,teixi,Major,Resolved,Fixed,2015-10-22 17:50,2015-12-14 16:52,
Bug,Patch Available,CAMEL-9355,12915650,Current Throttler implementation is not accurate and does not work in a multi-threaded route,davsclaus,aaronjwhiteside,Major,Resolved,Fixed,2015-11-24 1:09,2015-12-14 8:48,
Bug,,CAMEL-9270,12908832,rest-dsl - CORS support doesn't work with Restlet 2.3,davsclaus,koscejev,Major,Resolved,Fixed,2015-10-29 8:42,2015-11-30 15:45,
Bug,,CAMEL-9357,12915715,KuraRouter should provide default routes configuration,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-24 8:38,2015-11-24 8:44,
