Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,IO-124,12372867,fix website permissions,,godmar,Major,Closed,Fixed,03/Jul/07 03:41,14/Mar/12 00:21,
Bug,IO-117,12365205,EndianUtils.readSwappedUnsignedInteger() may return a negative number,,ikeda,Major,Closed,Fixed,19/Mar/07 02:23,18/May/07 23:45,
Bug,IO-115,12363042,FileUtilsCleanDirectoryTestCase fails on Windoes if command chmod is available,,joehni,Major,Closed,Fixed,16/Feb/07 17:46,22/Aug/08 07:36,
